
 PRINT EPEL NODAL SOLUTION PER NODE

 *** ANSYS - ENGINEERING ANALYSIS SYSTEM  RELEASE Release 17.2     17.2     ***
 ANSYS Academic Research                           
 00210476  VERSION=LINUX x64     18:23:57  JUL 08, 2019 CP=      5.582

                                                                               


 
  ***** POST1 NODAL ELASTIC STRAIN LISTING *****                               
 
  LOAD STEP=     1  SUBSTEP=     1                                             
   TIME=    1.0000      LOAD CASE=   0                                         
 
    NODE       EPEL1          EPEL2          EPEL3          EPELINT        EPELEQV 
     144    0.0199613798  -0.0236113059  -0.1117904374   0.1317518172   0.0918527505
     145    0.0169701448  -0.0172575042  -0.1074264313   0.1243965761   0.0875136125
     146    0.0229771389  -0.0099326083  -0.1119656412   0.1349427801   0.0955455476
     147    0.0266265590   0.0083544144  -0.1287896358   0.1554161947   0.1156793407
     148    0.0284937611   0.0021406223  -0.1363069921   0.1648007531   0.1205189064
     149    0.0193668996  -0.0247525580  -0.1306688677   0.1500357673   0.1060377031
     150   -0.0019052695  -0.0596530332  -0.1058418059   0.1039365364   0.0743713932
     151   -0.0147239692  -0.0542161977  -0.1050968740   0.0903729047   0.0615742530
     152   -0.0084480262  -0.0519492632  -0.1130816870   0.1046336608   0.0761227211
     153    0.0229284771  -0.0880456344  -0.1132766669   0.1362051440   0.0970285982
     154    0.0153623659  -0.0783167364  -0.1117550919   0.1271174579   0.0884426623
     155   -0.0099973020  -0.0576917736  -0.0999038486   0.0899065466   0.0650682340
     156   -0.0085258197  -0.0650180704  -0.0900092815   0.0814834618   0.0565406719
     157    0.0034492854  -0.0698885735  -0.0876013282   0.0910506136   0.0664968801
     158    0.0144922800  -0.0410513122  -0.0971567409   0.1116490210   0.0754333486
     159    0.0266606796  -0.0255926295  -0.0897454487   0.1164061283   0.0790910288
     160    0.0373985592  -0.0137376962  -0.0866138666   0.1240124258   0.0833568976
     161    0.0274412102  -0.0097524262  -0.0744117149   0.1018529251   0.0720497431
     162    0.0113983887  -0.0149938109  -0.0485482467   0.0599466354   0.0466530174
     163    0.0233292614   0.0023018695  -0.0596046533   0.0829339147   0.0650912094
     164    0.0339522710   0.0064587052  -0.0502554142   0.0842076852   0.0856708880
     165    0.0361004413   0.0301498960  -0.0791836569   0.1152840983   0.0929078548
     166    0.0261698204   0.0065284148  -0.0927916006   0.1189614210   0.0891171719
     167    0.0075567187  -0.0275574553  -0.0958624081   0.1034191268   0.0723179899
     168   -0.0108858607  -0.0620464124  -0.0736768622   0.0627910015   0.0477697497
     169   -0.0024087905  -0.0683873848  -0.0902175125   0.0878087220   0.0662429624
     170    0.0309689954  -0.0681830118  -0.1318864988   0.1628554941   0.1107793799
     171    0.0210242497  -0.0643499444  -0.1242912550   0.1453155047   0.0981790526
     172   -0.0036529687  -0.0737648950  -0.0798461210   0.0761931523   0.0596921962
     173   -0.0112888217  -0.0622064792  -0.0705800111   0.0592911893   0.0442659294
     174    0.0044475018  -0.0467418247  -0.0786671808   0.0831146826   0.0583871448
     175    0.0220376648  -0.0287438701  -0.0687480547   0.0907857195   0.0622391387
     176    0.0366191549  -0.0136125052  -0.0731785155   0.1097976704   0.0752076563
     177    0.0530602936  -0.0083587586  -0.0974601109   0.1505204046   0.1380578152
     178    0.0550634915  -0.0032305078  -0.1270511957   0.1821146872   0.1506307893
     179    0.0336216937  -0.0305687970  -0.0579241631   0.0915458568   0.0660937836
     180    0.0194759042  -0.0008458919  -0.0225616676   0.0420375717   0.0693226035
     181    0.0952630032   0.0687649722  -0.1407863558   0.2360493590   0.1897067398
     182    0.0468004676   0.0222563916  -0.0424701931   0.0892706608   0.0924396290
     183    0.0360196167  -0.0103553478  -0.0420953987   0.0781150154   0.0607507150
     184    0.0252284103  -0.0313988212  -0.0698644485   0.0950928588   0.0673466597
     185   -0.0002738089  -0.0426733389  -0.0787535317   0.0784797229   0.0570041439
     186   -0.0039902963  -0.0647547059  -0.0810725171   0.0770822209   0.0565550316
