Principal Nodal Strains (computed using Matlab)
    NODE       EPEL1          EPEL2          EPEL3          EPELINT        EPELEQV
     136    0.0130216037  -0.0496142139  -0.1329807157   0.1460023193   0.0975891286
     137    0.0117523939  -0.0504443334  -0.1207964632   0.1325488571   0.0883562158
     138   -0.0030822821  -0.0347111524  -0.1167483382   0.1136660561   0.0781639485
     139   -0.0055989991  -0.0301208450  -0.1163414053   0.1107424061   0.0774962997
     140   -0.0009055767  -0.0328253236  -0.1169850901   0.1160795134   0.0798967343
     141    0.0070546608  -0.0208101495  -0.1148886696   0.1219433304   0.0851337122
     142    0.0167027538  -0.0011446432  -0.1106464499   0.1273492037   0.0918691425
     143    0.0313058431   0.0146785903  -0.1052987040   0.1366045471   0.0993050094
     144    0.0516003094   0.0156315887  -0.0988512851   0.1504515946   0.1046772436
     145    0.0651812894   0.0140076395  -0.0968077028   0.1619889922   0.1103239127
     146    0.0711083126   0.0192460313  -0.1032737880   0.1743821006   0.1193050877
     147    0.0720380355   0.0321793065  -0.1135801906   0.1856182260   0.1301895240
     148    0.0587657938   0.0303778814  -0.1195422087   0.1783080025   0.1276501909
     149    0.0274937870   0.0095906277  -0.1162507565   0.1437445436   0.1043705717
     150   -0.0031409838  -0.0172156976  -0.1089938794   0.1058528956   0.0765880546
     151   -0.0166907351  -0.0225674583  -0.1066715323   0.0899807972   0.0670700751
     152   -0.0038826870  -0.0431551351  -0.1059964045   0.1021137175   0.0686267704
     153    0.0212738260  -0.0802474112  -0.1105710072   0.1318448332   0.0920013219
     154    0.0094344732  -0.0750278378  -0.1023141466   0.1117486198   0.0776240726
     155   -0.0052108401  -0.0499003344  -0.0929122733   0.0877014332   0.0584279235
     156   -0.0106023011  -0.0349823878  -0.0911228672   0.0805205661   0.0550139940
     157   -0.0010667416  -0.0272613769  -0.0884474681   0.0873807265   0.0597462287
     158    0.0229237341  -0.0035290544  -0.0836900366   0.1066137707   0.0739663069
     159    0.0516833418   0.0161149950  -0.0754285444   0.1271118862   0.0873724912
     160    0.0766893007   0.0257659803  -0.0677377485   0.1444270492   0.0975973257
     161    0.0868570180   0.0185462716  -0.0606413055   0.1474983235   0.0983484716
     162    0.0960077411  -0.0039759706  -0.0451210454   0.1411287865   0.0967015083
     163    0.1053154597   0.0073174101  -0.0349982310   0.1403136907   0.0958952878
     164    0.0862934008   0.0434247902  -0.0398304763   0.1261238771   0.0854441746
     165    0.0784612517   0.0487710517  -0.0516557168   0.1301169685   0.0908498164
     166    0.0804814110   0.0099707625  -0.0687522771   0.1492336881   0.0994656763
     167    0.0348200583  -0.0181841836  -0.0740308378   0.1088508961   0.0725218107
     168   -0.0060741467  -0.0276799730  -0.0755912605   0.0695171138   0.0474027572
     169   -0.0018556870  -0.0573565095  -0.0815420652   0.0796863782   0.0544341556
     170    0.0249073518  -0.0782306777  -0.1113358369   0.1362431887   0.0946741706
     171    0.0105707204  -0.0711056884  -0.1047216636   0.1152923840   0.0789977967
     172   -0.0057637315  -0.0597713054  -0.0714067424   0.0656430109   0.0466676729
     173   -0.0127461488  -0.0329512445  -0.0662863348   0.0535401859   0.0360227806
     174    0.0088759814  -0.0195378742  -0.0593311672   0.0682071486   0.0456480895
     175    0.0499589003   0.0006112407  -0.0489841914   0.0989430917   0.0659133234
     176    0.0659091191   0.0259170962  -0.0386178402   0.1045269593   0.0702699889
     177    0.0568093574   0.0105236422  -0.0310151742   0.0878245316   0.0585348454
     178    0.0471067188   0.0025262352  -0.0502708776   0.0973775964   0.0649472952
     179    0.0608825240   0.0166337020  -0.0522707005   0.1131532245   0.0759738104
     180    0.0914265611   0.0179314922  -0.0070192175   0.0984457786   0.0681879460
     181    0.0577417577   0.0334209322   0.0252482424   0.0324935153   0.0225197083
     182    0.0718450178   0.0378414911   0.0149940412   0.0568509766   0.0381148969
     183    0.1116015764  -0.0054312432  -0.0214400073   0.1330415838   0.0967718974
     184    0.0666314655  -0.0286270046  -0.0372045654   0.1038360309   0.0767877117
     185    0.0078879230  -0.0336983984  -0.0507901698   0.0586780927   0.0402090298
     186    0.0004769450  -0.0583882957  -0.0667690907   0.0672460357   0.0488245973
     187    0.0226282604  -0.0624088540  -0.1182780958   0.1409063563   0.0945360585
     188    0.0125265770  -0.0581967895  -0.1136212284   0.1261478053   0.0842420642
     189   -0.0041942493  -0.0554869509  -0.0641452881   0.0599510388   0.0431730901
     190   -0.0094739502  -0.0283271190  -0.0476193733   0.0381454230   0.0254120268
     191    0.0241378816  -0.0201004585  -0.0369687761   0.0611066577   0.0420467283
     192    0.0698828592   0.0007392713  -0.0218149371   0.0916977963   0.0636605595
     193    0.0399708919   0.0263325918  -0.0075863475   0.0475572395   0.0326274864
     194    0.0861317740   0.0149379119  -0.1167627100   0.2028944839   0.1371517013
     195    0.0451890785   0.0146638590  -0.1406575313   0.1858466098   0.1327847902
     196    0.0477904888   0.0114017841  -0.0579848163   0.1057753051   0.0715985135
     197    0.0955840667   0.0209909523  -0.0168245744   0.1124086411   0.0762079244
     198    0.0770459381   0.0343483854   0.0023385034   0.0747074347   0.0499375775
     199    0.1126685044   0.0270248153  -0.0138549733   0.1265234777   0.0860270169
     200    0.1168340721   0.0098392711  -0.0348691802   0.1517032523   0.1038612665
     201    0.0700833921  -0.0117846078  -0.0436933142   0.1137767064   0.0781927407
     202    0.0156293254  -0.0252256516  -0.0476727829   0.0633021082   0.0427603745
     203    0.0054726784  -0.0549219522  -0.0663680859   0.0718407643   0.0514281851
     204    0.0237138866  -0.0596902860  -0.1226302253   0.1463441118   0.0978077619
     205    0.0154987569  -0.0581057239  -0.1183066961   0.1338054530   0.0892865805
     206   -0.0033527867  -0.0548671064  -0.0656278770   0.0622750903   0.0443483594
     207   -0.0025020971  -0.0283552954  -0.0469829708   0.0444808737   0.0297620060
     208    0.0322653407  -0.0163725417  -0.0338838510   0.0661491918   0.0456640846
     209    0.0779335812   0.0044584252  -0.0201758290   0.0981094102   0.0680038752
     210    0.0546303586   0.0282120785  -0.0080898793   0.0627202380   0.0419551251
     211    0.0736277393   0.0202929181  -0.0615820243   0.1352097636   0.0907395478
     212    0.0255459636   0.0093216012  -0.0370077283   0.0625536919   0.0432503415
     213    0.0904875603  -0.0101385073  -0.0309403736   0.1214279339   0.0865223340
     214    0.1134326605  -0.0026221296  -0.0243094359   0.1377420964   0.0986775555
     215    0.1148956111   0.0091715208  -0.0364921470   0.1513877580   0.1034622635
     216    0.1127993817   0.0108432153  -0.0474259225   0.1602253042   0.1080522835
     217    0.0922551786   0.0075154064  -0.0568373067   0.1490924852   0.0996304857
     218    0.0526965155  -0.0018477252  -0.0609072172   0.1136037327   0.0756997063
     219    0.0129323171  -0.0177067812  -0.0630159907   0.0759483078   0.0509083882
     220    0.0088397647  -0.0630673190  -0.0672018780   0.0760416427   0.0569699773
     221    0.0260162812  -0.0683998881  -0.1224814595   0.1484977407   0.1001342418
     222    0.0154364037  -0.0699369215  -0.1179564253   0.1333928289   0.0900166392
