
 PRINT EPEL NODAL SOLUTION PER NODE

 *** ANSYS - ENGINEERING ANALYSIS SYSTEM  RELEASE Release 17.2     17.2     ***
 ANSYS Academic Research                           
 00210476  VERSION=LINUX x64     17:59:09  JUL 26, 2019 CP=      0.602

                                                                               


 
  ***** POST1 NODAL ELASTIC STRAIN LISTING *****                               
 
  LOAD STEP=     1  SUBSTEP=     1                                             
   TIME=    1.0000      LOAD CASE=   0                                         
 
    NODE       EPEL1          EPEL2          EPEL3          EPELINT        EPELEQV 
     141    0.0005087589  -0.0005966446  -0.0007924006   0.0013011595   0.0013922193
     142    0.0006736072  -0.0000511682  -0.0007913472   0.0014649544   0.0018946469
     143    0.0014107535   0.0003970758  -0.0016467340   0.0030574876   0.0024703405
     144    0.0015392636  -0.0002129531  -0.0009115516   0.0024508153   0.0020161012
     145    0.0010758853  -0.0000558638  -0.0007012547   0.0017771400   0.0013800712
     146    0.0010942835  -0.0001468871  -0.0008743321   0.0019686156   0.0015908635
     147    0.0008963159  -0.0003654604  -0.0008771761   0.0017734920   0.0013082733
     148    0.0010519317  -0.0006492335  -0.0010231683   0.0020750999   0.0017877807
     149    0.0004712306  -0.0003181178  -0.0008795563   0.0013507869   0.0011097821
     150    0.0000389178  -0.0004511607  -0.0006277069   0.0006666247   0.0008485362
     151    0.0001772046  -0.0004517744  -0.0009116920   0.0010888965   0.0012056883
     152    0.0004161920  -0.0003257814  -0.0008367606   0.0012529526   0.0012203163
     153    0.0002368693  -0.0000846507  -0.0005827922   0.0008196616   0.0010069878
     154    0.0002246911   0.0000875042  -0.0008012089   0.0010259001   0.0012888890
     155    0.0012680605  -0.0003207953  -0.0013327722   0.0026008327   0.0027217886
     156    0.0006674525  -0.0003188635  -0.0006229850   0.0012904375   0.0012664634
     157    0.0009487089  -0.0005726745  -0.0008803734   0.0018290823   0.0016064593
     158    0.0012787755  -0.0008207554  -0.0016032677   0.0028820432   0.0021173969
     159    0.0009759656  -0.0003493653  -0.0018340150   0.0028099806   0.0019790414
     160    0.0011300587  -0.0007779981  -0.0016130087   0.0027430674   0.0020875637
     161    0.0007033534  -0.0008795703  -0.0014125697   0.0021159231   0.0016258440
     162    0.0004458967  -0.0007557312  -0.0009880252   0.0014339219   0.0013124476
     163    0.0005143411  -0.0001918171  -0.0010703979   0.0015847391   0.0013928253
     164    0.0003140812  -0.0003589057  -0.0008525158   0.0011665971   0.0011842399
     165    0.0004350994  -0.0003126899  -0.0013916568   0.0018267562   0.0014866741
     166    0.0015790295   0.0003905798  -0.0016889816   0.0032680110   0.0025598806
     167    0.0009175216  -0.0000766779  -0.0008414110   0.0017589326   0.0012964174
     168    0.0007975206  -0.0003649444  -0.0011539373   0.0019514579   0.0014792809
     169    0.0007897622  -0.0007508781  -0.0014492102   0.0022389724   0.0016522843
     170    0.0007280485  -0.0009808813  -0.0013792801   0.0021073286   0.0017069509
     171    0.0006814032  -0.0005604226  -0.0019160263   0.0025974295   0.0019346651
     172    0.0016815700  -0.0014156718  -0.0019784245   0.0036599944   0.0028742934
     173    0.0008181009  -0.0003046176  -0.0015066438   0.0023247447   0.0017516877
     174    0.0004786478  -0.0002115984  -0.0007384448   0.0012170926   0.0010380245
     175    0.0004831325  -0.0000038108  -0.0009803119   0.0014634444   0.0012046895
     176    0.0005046985   0.0001061678  -0.0012168821   0.0017215806   0.0016151825
     177    0.0008537777   0.0004118006  -0.0005250654   0.0013788431   0.0017101201
     178    0.0005691037   0.0001860097  -0.0007787498   0.0013478535   0.0011219190
     179    0.0008643297  -0.0005833512  -0.0012660336   0.0021303633   0.0015250403
     180    0.0010858699  -0.0008533909  -0.0012550129   0.0023408828   0.0017976447
     181    0.0010837109  -0.0007339588  -0.0013743185   0.0024580294   0.0019761107
     182    0.0012656539  -0.0011227290  -0.0015800949   0.0028457488   0.0022363087
     183    0.0014718204  -0.0009665700  -0.0017565305   0.0032283509   0.0026640420
     184    0.0012861474  -0.0003274327  -0.0015244290   0.0028105764   0.0020298966
     185    0.0005911501  -0.0000773356  -0.0009720831   0.0015632332   0.0013541971
     186    0.0000450978  -0.0000883378  -0.0002946304   0.0003397282   0.0007940065
     187    0.0004892157   0.0000270700  -0.0005923085   0.0010815242   0.0010239503
     188    0.0016388370   0.0005525682  -0.0016626544   0.0033014913   0.0028843227
     189    0.0005658965   0.0003983418  -0.0010661275   0.0016320240   0.0014385393
     190    0.0004513248  -0.0002882979  -0.0009970907   0.0014484155   0.0012146717
     191    0.0010132119  -0.0005807415  -0.0011305081   0.0021437200   0.0017267377
     192    0.0019560618  -0.0008471766  -0.0016322259   0.0035882877   0.0028707997
     193    0.0015197764  -0.0008113952  -0.0015209545   0.0030407309   0.0022635367
     194    0.0013256472  -0.0005175824  -0.0015850957   0.0029107429   0.0021394589
     195    0.0012208813  -0.0005329527  -0.0011213331   0.0023422144   0.0017188911
     196    0.0007195405   0.0000070848  -0.0011192742   0.0018388146   0.0015291198
     197    0.0007439783  -0.0002312997  -0.0005862299   0.0013302082   0.0012198735
     198    0.0011253166  -0.0001300647  -0.0007087461   0.0018340627   0.0015376228
     199    0.0019748370  -0.0002637727  -0.0018332571   0.0038080942   0.0038254592
     200    0.0013532414  -0.0004164745  -0.0011175649   0.0024708064   0.0020701245
     201    0.0008361400  -0.0005157264  -0.0006212618   0.0014574018   0.0012072918
     202    0.0010662234  -0.0005441259  -0.0007960025   0.0018622259   0.0015255195
     203    0.0011888134  -0.0001686438  -0.0013894834   0.0025782968   0.0019837608
     204    0.0015663907  -0.0006221475  -0.0017799412   0.0033463319   0.0023475987
     205    0.0010876220  -0.0006301912  -0.0016684847   0.0027561067   0.0020733014
     206    0.0006555630  -0.0004839226  -0.0013256329   0.0019811959   0.0015842438
     207    0.0005257045  -0.0003621053  -0.0010003574   0.0015260619   0.0013826736
     208    0.0007946428  -0.0002304934  -0.0007396504   0.0015342932   0.0013214233
     209    0.0021255200   0.0000334782  -0.0018406465   0.0039661665   0.0031100491
     210    0.0008293050   0.0001523249  -0.0012577520   0.0020870570   0.0025651314
     211    0.0002898402   0.0000050424  -0.0004490753   0.0007389155   0.0010943074
     212    0.0008499082  -0.0002619384  -0.0008460938   0.0016960020   0.0014082548
     213    0.0006991877  -0.0003327551  -0.0007195867   0.0014187743   0.0011952054
     214    0.0005838117  -0.0002949703  -0.0006379621   0.0012217738   0.0011353406
     215    0.0008037403  -0.0002339036  -0.0014575671   0.0022613073   0.0016437285
     216   -0.0000529788  -0.0005096405  -0.0009729016   0.0009199227   0.0012663828
     217    0.0001595949  -0.0006943957  -0.0010163716   0.0011759665   0.0011140466
     218    0.0005883676  -0.0004526446  -0.0011822151   0.0017705827   0.0012361718
     219    0.0009987419  -0.0000623539  -0.0015926280   0.0025913700   0.0018798371
     220    0.0020115794  -0.0002088762  -0.0023530453   0.0043646248   0.0033817506
     221    0.0018733601  -0.0002168321  -0.0017273690   0.0036007291   0.0025765964
     222    0.0010018778  -0.0000630733  -0.0009291573   0.0019310350   0.0014780804
     223    0.0006136021  -0.0000523270  -0.0009797865   0.0015933886   0.0011968912
     224    0.0001913163  -0.0001953068  -0.0008400045   0.0010313208   0.0010758184
     225    0.0001939637  -0.0000364767  -0.0007802209   0.0009741847   0.0012048169
     226    0.0003573573   0.0000671674  -0.0009764343   0.0013337916   0.0014749687
     227    0.0003880113  -0.0002209786  -0.0010018787   0.0013898901   0.0020352040
     228    0.0004130109  -0.0000768488  -0.0012158369   0.0016288478   0.0014415044
     229    0.0008001668  -0.0002652110  -0.0009086925   0.0017088593   0.0013809585
     230    0.0014024971   0.0000541308  -0.0013831979   0.0027856950   0.0021098595
     231    0.0023746967  -0.0002386783  -0.0019505257   0.0043252225   0.0037893426
     232    0.0021413204   0.0003784088  -0.0027277237   0.0048690441   0.0034974848
     233    0.0020453705  -0.0000485091  -0.0019922357   0.0040376062   0.0029258756
     234    0.0009982388  -0.0001709416  -0.0011780773   0.0021763161   0.0017040913
     235    0.0010195833  -0.0006958562  -0.0012699126   0.0022894959   0.0018841525
     236    0.0007300920  -0.0005253750  -0.0009772342   0.0017073262   0.0016631006
     237    0.0010278067  -0.0004169115  -0.0009432224   0.0019710292   0.0022708957
     238    0.0011457292   0.0006052246  -0.0020546146   0.0032003438   0.0039321632
     239    0.0019355146  -0.0010500051  -0.0012413171   0.0031768316   0.0032086153
     240    0.0005909437   0.0003762930  -0.0009066567   0.0014976004   0.0019415418
     241    0.0012425777   0.0002063170  -0.0006254917   0.0018680694   0.0014644246
     242    0.0036304300   0.0006588095  -0.0029610722   0.0065915022   0.0047095059
     243    0.0036345680   0.0025304698  -0.0020161764   0.0056507444   0.0043205384
     244    0.0026074882   0.0010727299  -0.0009140864   0.0035215747   0.0025177532
     245    0.0015326720   0.0000853091  -0.0004169931   0.0019496651   0.0018349559
     246    0.0014001553   0.0006111509  -0.0015996792   0.0029998344   0.0022466958
     247    0.0008472047   0.0004802100  -0.0016697162   0.0025169209   0.0024395689
     248    0.0003538492   0.0001152959  -0.0008241794   0.0011780285   0.0018232234
     249    0.0013503497   0.0002688537  -0.0023531257   0.0037034754   0.0029690425
     250    0.0006806666  -0.0006859434  -0.0015215353   0.0022022019   0.0026518393
     251    0.0002210499  -0.0007272062  -0.0010468898   0.0012679398   0.0010944141
     252    0.0012956146  -0.0000838871  -0.0015909213   0.0028865359   0.0020702468
     253    0.0042545343  -0.0008222107  -0.0028911842   0.0071457185   0.0053811784
     254    0.0020004832   0.0015129380  -0.0009243266   0.0029248098   0.0028094976
     255    0.0012212130   0.0009425589  -0.0002560721   0.0014772851   0.0012332041
     256    0.0012889315   0.0004234032  -0.0008258543   0.0021147858   0.0014997479
     257    0.0008142006  -0.0000420053  -0.0006210017   0.0014352023   0.0012781709
     258    0.0007331974   0.0001030674  -0.0012076416   0.0019408391   0.0015717252
     259    0.0007640753  -0.0001097727  -0.0010031153   0.0017671906   0.0017985222
     260    0.0010268123   0.0000731835  -0.0016931095   0.0027199218   0.0022649675
     261    0.0007497324  -0.0006095582  -0.0014487485   0.0021984809   0.0016016697
     262    0.0005404783  -0.0005021147  -0.0014116166   0.0019520949   0.0015481749
     263    0.0008667480   0.0000069163  -0.0013443915   0.0022111395   0.0016235568
     264    0.0017661034  -0.0000576255  -0.0015334882   0.0032995917   0.0024993342
     265    0.0013076542   0.0005391027  -0.0016502671   0.0029579213   0.0024179163
     266    0.0010344342   0.0003567502  -0.0010449068   0.0020793410   0.0017101157
