Nodal Strains (computed using Matlab)
     NODE    EPELX          EPELY          EPELZ          EPELXY         EPELYZ         EPELXZ
     129    0.0005229424   0.0006801409  -0.0001707954   0.0005704767   0.0009423940   0.0007717987
     130    0.0006698911  -0.0003049689   0.0001969082   0.0003540116   0.0001176821   0.0012910186
     131    0.0014886244   0.0009952827   0.0001294962   0.0002304228   0.0007407722   0.0002203381
     132    0.0009742925  -0.0000864982  -0.0001708397  -0.0002362363  -0.0003588467   0.0002545746
     133    0.0003294480  -0.0003627664  -0.0004544393  -0.0005938810  -0.0011754110   0.0003270850
     134    0.0000630000   0.0002056787  -0.0001996137  -0.0011424425  -0.0004749357  -0.0005342727
     135   -0.0000788819   0.0000669671  -0.0001528493  -0.0008258931   0.0004324711  -0.0014177236
     136    0.0001884385  -0.0000104050  -0.0000625294  -0.0006202296   0.0005293012  -0.0005693355
     137    0.0008114892  -0.0003027752   0.0000433345  -0.0009748017   0.0000210519   0.0001591639
     138    0.0010070685  -0.0005263599   0.0000142022  -0.0004905689  -0.0000955421   0.0000612356
     139    0.0007173529  -0.0002050241  -0.0000745758   0.0002667470  -0.0003389702   0.0004119645
     140    0.0002639936   0.0008994948  -0.0007442728   0.0008452505   0.0000840632   0.0002462168
     141    0.0001027317   0.0012929750  -0.0007734591   0.0006283357   0.0010616067  -0.0001091534
     142    0.0001293152   0.0006137376  -0.0001923720   0.0001840362   0.0008898869  -0.0001075881
     143    0.0002052112  -0.0006580128   0.0000448116  -0.0003437816  -0.0005325137  -0.0002580605
     144    0.0016826218   0.0006700295  -0.0002959076   0.0003462703  -0.0000762007  -0.0003668934
     145    0.0010402719  -0.0003417959  -0.0002748493  -0.0005648616  -0.0006279673  -0.0002940463
     146    0.0006994302  -0.0006441439  -0.0000080178  -0.0013376844  -0.0008330633  -0.0000778612
     147   -0.0000226549  -0.0005750472   0.0000878733  -0.0012675066  -0.0004709197  -0.0004670463
     148   -0.0001453987  -0.0004666612  -0.0000613537  -0.0002949587  -0.0000320999  -0.0005978267
     149    0.0000251652  -0.0001401769   0.0001019776   0.0003604247   0.0007332219  -0.0002528490
     150    0.0003685841   0.0000134342   0.0003066589  -0.0000645049   0.0008214786  -0.0003704625
     151    0.0007353541   0.0000045259   0.0002426026  -0.0003487198   0.0003869489  -0.0000393799
     152    0.0005397118   0.0003189528  -0.0000695438  -0.0002579508  -0.0002318175   0.0002071056
     153    0.0000398430   0.0009200228  -0.0004470434   0.0000483958   0.0002021545  -0.0003098710
     154   -0.0001108251   0.0011184269  -0.0003664564   0.0002896565   0.0006536760  -0.0003964052
     155    0.0001664850   0.0004491117  -0.0002339575   0.0002464209   0.0003510976  -0.0002881071
     156    0.0001340149  -0.0005234717  -0.0001357840  -0.0003418880  -0.0008057763  -0.0006002633
     157    0.0005280906  -0.0001174068  -0.0010106641   0.0005946922  -0.0013617030  -0.0013451730
     158    0.0005833230  -0.0005271632  -0.0001400979  -0.0015435619  -0.0005793594  -0.0006068905
     159    0.0001948766  -0.0009504068   0.0003664444  -0.0025359298  -0.0003257871  -0.0001417759
     160   -0.0007768104  -0.0011793691   0.0004990928  -0.0015312618  -0.0006143848   0.0003960888
     161   -0.0013767997  -0.0009784190   0.0004460828   0.0006688242  -0.0004390083   0.0006781808
     162   -0.0009153502  -0.0003532311   0.0003140464   0.0017960355   0.0008346396  -0.0001566906
     163    0.0001255654   0.0002652386   0.0001423167   0.0014297617   0.0016173929  -0.0007893461
     164    0.0003908471   0.0004384982   0.0000648854   0.0001870931   0.0009040344  -0.0004659964
     165   -0.0001105834   0.0005741223   0.0001114435  -0.0008920890  -0.0000849987  -0.0003248010
     166   -0.0003562314   0.0009469276   0.0001245675  -0.0008259393  -0.0002383965  -0.0006726108
     167    0.0000318005   0.0011392582  -0.0000094060   0.0002436876   0.0004377433  -0.0006855355
     168    0.0004483104   0.0006694557  -0.0001175768   0.0008163700   0.0004221504  -0.0000293851
     169    0.0005875241   0.0001031402  -0.0000158960   0.0008324578  -0.0004836450   0.0007064675
     170   -0.0004493183   0.0000779776  -0.0001024215  -0.0004034542   0.0002612767   0.0004744101
     171   -0.0002810694  -0.0004039933   0.0000483562  -0.0007961712   0.0000646611   0.0005033815
     172   -0.0002275230  -0.0004586129   0.0002681311  -0.0004246964  -0.0002307516   0.0008969706
     173   -0.0004444491  -0.0001614291   0.0005528025   0.0006293119  -0.0003220474   0.0016740767
     174   -0.0005028779  -0.0000981757   0.0007213578   0.0018596287  -0.0005806764   0.0014738115
     175   -0.0004001340  -0.0002441071   0.0008417039   0.0015875546  -0.0001437507   0.0005495880
     176   -0.0002108439  -0.0004386863   0.0004014871   0.0008633114   0.0004990363  -0.0001244094
     177    0.0000777153  -0.0001599350  -0.0001967746   0.0001707009   0.0011326280  -0.0004755914
     178    0.0001855298   0.0006484052  -0.0003216654   0.0000737067   0.0014591812  -0.0001744486
     179    0.0001127330   0.0008561297  -0.0003866693   0.0009110736   0.0002940445   0.0002593625
     180   -0.0000530910   0.0008184698  -0.0003370405   0.0009615182  -0.0007542163   0.0000192646
     181   -0.0002100180   0.0007423709  -0.0001352946   0.0002066590  -0.0007371205  -0.0004828771
     182   -0.0002524443   0.0005272558  -0.0000382275  -0.0006309842  -0.0007538404  -0.0008637883
     183    0.0001053840   0.0000003816  -0.0001338570  -0.0004823989   0.0001289898   0.0004874513
     184    0.0001654521  -0.0003446208   0.0000689678  -0.0007135857  -0.0002011314   0.0005735154
     185    0.0002891703  -0.0003783650   0.0003606830  -0.0003620913  -0.0004081089   0.0006388636
     186    0.0003610974  -0.0001352964   0.0006047675   0.0005548601  -0.0005181991   0.0006129794
     187    0.0003042285  -0.0001221910   0.0006962967   0.0012737249  -0.0004903773   0.0003358009
     188    0.0001511336  -0.0002406506   0.0006991864   0.0009981045  -0.0000378209   0.0000417429
     189   -0.0001797798  -0.0002421738   0.0004773231   0.0000591567   0.0007981541  -0.0000551308
     190   -0.0004365868  -0.0001468470   0.0000626480   0.0000562140   0.0010902318  -0.0000863410
     191   -0.0003401260   0.0004242131  -0.0001667352   0.0006179963   0.0008712869  -0.0002749351
     192   -0.0001674975   0.0009664006  -0.0001494545   0.0008944441   0.0004575400  -0.0005566468
     193   -0.0000726667   0.0009511058  -0.0001620372   0.0009287906   0.0000078187  -0.0005297963
     194   -0.0000162567   0.0006367721  -0.0001412557   0.0005299229  -0.0003759245  -0.0002801660
     195    0.0000163871   0.0000772035  -0.0000517663  -0.0001716211  -0.0009728237  -0.0000929962
     196    0.0002997887  -0.0001014408  -0.0001879951  -0.0001798924  -0.0001577893   0.0006249286
     197    0.0004504569  -0.0002668274   0.0000617958  -0.0005742598  -0.0003733489   0.0006123790
     198    0.0005911185  -0.0002859359   0.0003099620  -0.0001892445  -0.0006743780   0.0005915788
     199    0.0007332103  -0.0001534315   0.0005009370   0.0005974321  -0.0007710515   0.0004191726
     200    0.0005864048  -0.0000302293   0.0006122176   0.0010950789  -0.0003266098   0.0001777334
     201    0.0001611617  -0.0001757811   0.0006757847   0.0009151450   0.0002573120   0.0001110246
     202   -0.0000885333  -0.0001945430   0.0004709597  -0.0000615294   0.0008290033   0.0000804776
     203   -0.0002903995  -0.0000378773   0.0001115631   0.0000034018   0.0008257262  -0.0000772018
     204   -0.0004462162   0.0003015720  -0.0000294541   0.0010242861   0.0004738368  -0.0002819766
     205   -0.0002029138   0.0008461556   0.0000045209   0.0013256479   0.0004924497  -0.0005066862
     206    0.0000946319   0.0010524686  -0.0000315812   0.0009790836   0.0006061171  -0.0003939110
     207    0.0001346465   0.0006644862  -0.0000110527   0.0005164024   0.0001554363   0.0000513457
     208    0.0000582396  -0.0001771758   0.0001907016   0.0000158694  -0.0010259195   0.0004830830
     209    0.0005667361  -0.0001358638  -0.0000220114  -0.0001981530  -0.0001542696   0.0004223151
     210    0.0006485882  -0.0001339385   0.0000602431  -0.0003378961  -0.0004212116   0.0004584570
     211    0.0007454520  -0.0002185523   0.0002129373   0.0001190665  -0.0007476765   0.0006198220
     212    0.0008660705  -0.0001414588   0.0003420612   0.0009404860  -0.0008407498   0.0008402898
     213    0.0008477055   0.0001501568   0.0005016992   0.0010329034  -0.0001426574   0.0007866125
     214    0.0006197395  -0.0000111470   0.0006225913   0.0008277495   0.0003879848   0.0004535948
     215    0.0005260407  -0.0001639229   0.0004252672   0.0003968229   0.0004459702   0.0001711610
     216    0.0005535454   0.0000816313   0.0001114817   0.0002531088   0.0004156986  -0.0000444626
     217    0.0003945039   0.0002256029   0.0000170843   0.0012652219   0.0003522234  -0.0000875261
     218    0.0002714786   0.0005303594   0.0000918792   0.0019100929   0.0005377829   0.0000072092
     219    0.0002136856   0.0009758418   0.0001459449   0.0011495170   0.0009201191   0.0000854608
     220    0.0000378464   0.0006844981   0.0001966381   0.0003148098   0.0005810088   0.0001310815
     221   -0.0001652316  -0.0001877754   0.0002698194   0.0000230559  -0.0007271018   0.0001697587
     222    0.0010280692  -0.0002065164   0.0001601181  -0.0002468176  -0.0002146600  -0.0002052690
     223    0.0010662811   0.0000568761   0.0002014557  -0.0001898688  -0.0001736936   0.0000524004
     224    0.0011392109  -0.0000829293   0.0002951814   0.0003696733  -0.0003380622   0.0003146813
     225    0.0011825353  -0.0000706397   0.0004135051   0.0012544080  -0.0004087884   0.0006723524
