Principal Nodal Strains (computed using Matlab)
    NODE       EPEL1          EPEL2          EPEL3          EPELINT        EPELEQV
     112    0.0003935179  -0.0005330032  -0.0014590629   0.0018525809   0.0012341401
     113    0.0005732849  -0.0004598655  -0.0008620237   0.0014353086   0.0009864828
     114    0.0007417761   0.0004371662  -0.0000074357   0.0007492118   0.0005020008
     115    0.0011476257   0.0005283656  -0.0001458222   0.0012934479   0.0008619195
     116    0.0010255629   0.0004771168  -0.0003936844   0.0014192473   0.0009535593
     117    0.0012624139  -0.0000324060  -0.0002782866   0.0015407005   0.0011028170
     118    0.0007583075   0.0001115013  -0.0002821764   0.0010404839   0.0006999466
     119    0.0003548704   0.0000275190  -0.0000921034   0.0004469737   0.0003082946
     120    0.0005189084  -0.0003670688  -0.0005543506   0.0010732591   0.0007638108
     121    0.0010340285  -0.0003297489  -0.0009724266   0.0020064551   0.0013651176
     122    0.0009844048  -0.0001152758  -0.0010103723   0.0019947771   0.0013311950
     123    0.0006041404  -0.0000762725  -0.0008290935   0.0014332338   0.0009551883
     124    0.0006318469  -0.0000858984  -0.0010800637   0.0017119106   0.0011453741
     125    0.0007574356  -0.0006345573  -0.0012501287   0.0020075643   0.0013703201
     126    0.0007260261  -0.0003449148  -0.0007103768   0.0014364030   0.0009946202
     127    0.0009075490   0.0004122980  -0.0001346010   0.0010421500   0.0006945367
     128    0.0015353593   0.0004943902  -0.0007607754   0.0022961347   0.0015318407
     129    0.0011721315   0.0003017734  -0.0004581282   0.0016302597   0.0010868662
     130    0.0011393469  -0.0002341671  -0.0003744157   0.0015137626   0.0011144144
     131    0.0015479520   0.0010575722  -0.0000364253   0.0015843774   0.0010807014
     132    0.0010069127   0.0000286873  -0.0003351202   0.0013420329   0.0009247314
     133    0.0005950309  -0.0000658646  -0.0010188724   0.0016139033   0.0010809938
     134    0.0007074948   0.0000577186  -0.0007035341   0.0014110288   0.0009409672
     135    0.0008467570  -0.0001583277  -0.0008595230   0.0017062800   0.0011426717
