Principal Nodal Strains (computed using Matlab)
    NODE       EPEL1          EPEL2          EPEL3          EPELINT        EPELEQV
     338    0.0002597849   0.0000950122  -0.0003857974   0.0006455823   0.0004469172
     339    0.0005063725  -0.0001419956  -0.0011740388   0.0016804113   0.0011291297
     340    0.0006225938  -0.0004115814  -0.0011882323   0.0018108261   0.0012103836
     341    0.0010028713  -0.0004800134  -0.0013425771   0.0023454484   0.0015805859
     342    0.0014021586   0.0000031727  -0.0014753900   0.0028775486   0.0019171906
     343    0.0012896751   0.0002540255  -0.0010049365   0.0022946116   0.0015310202
     344    0.0008325596   0.0002932798  -0.0005182067   0.0013507664   0.0009059146
     345    0.0008779589   0.0002110605  -0.0003912105   0.0012691694   0.0008458522
     346    0.0008407567   0.0000958692  -0.0006813806   0.0015221373   0.0010140838
     347    0.0006192085   0.0001370731  -0.0006569256   0.0012761341   0.0008585468
