        Node       x [um]       y [um]       z [um]       u [um]       v [um]       w [um]
         246      135.500      205.500       10.500   0.00049035  50.00018765   0.00037716
         247      135.500      225.500       10.500  -0.00100553  49.99997126   0.00135169
         248      155.500      -14.500       10.500  -0.00076935  49.99950517   0.00030068
         249      155.500        5.500       10.500  -0.00034254  50.00013626   0.00001188
         250      155.500       25.500       10.500  -0.00022427  50.00015678   0.00001263
         251      155.500       45.500       10.500  -0.00004954  50.00019077   0.00001434
         252      155.500       65.500       10.500   0.00014119  50.00022155   0.00002077
         253      155.500       85.500       10.500   0.00033257  50.00025164   0.00004463
         254      155.500      105.500       10.500   0.00049258  50.00028191   0.00008584
         255      155.500      125.500       10.500   0.00060527  50.00029784   0.00014860
         256      155.500      145.500       10.500   0.00065583  50.00030138   0.00022438
         257      155.500      165.500       10.500   0.00065493  50.00028782   0.00030517
         258      155.500      185.500       10.500   0.00061823  50.00026540   0.00037367
         259      155.500      205.500       10.500   0.00058096  50.00024604   0.00042794
         260      155.500      225.500       10.500  -0.00072234  49.99960623   0.00105940
         261      175.500      -14.500       10.500  -0.00036180  49.99873658   0.00025480
         262      175.500        5.500       10.500  -0.00028303  50.00013654   0.00001502
         263      175.500       25.500       10.500  -0.00016519  50.00017508   0.00001911
         264      175.500       45.500       10.500   0.00000591  50.00022373   0.00002584
         265      175.500       65.500       10.500   0.00020250  50.00026696   0.00003482
         266      175.500       85.500       10.500   0.00040499  50.00031129   0.00006635
         267      175.500      105.500       10.500   0.00058713  50.00035202   0.00011507
         268      175.500      125.500       10.500   0.00071920  50.00036962   0.00018252
         269      175.500      145.500       10.500   0.00077153  50.00036809   0.00025961
         270      175.500      165.500       10.500   0.00075585  50.00034244   0.00033910
         271      175.500      185.500       10.500   0.00070032  50.00030220   0.00040803
         272      175.500      205.500       10.500   0.00064696  50.00028088   0.00046730
         273      175.500      225.500       10.500  -0.00013258  49.99882193   0.00049548
         274      195.500      -14.500       10.500   0.00017841  49.99657957   0.00079028
         275      195.500        5.500       10.500  -0.00047266  49.99948475   0.00062930
         276      195.500       25.500       10.500  -0.00057225  49.99997944   0.00064685
         277      195.500       45.500       10.500  -0.00052997  50.00033333   0.00062879
         278      195.500       65.500       10.500  -0.00039880  50.00056508   0.00058273
         279      195.500       85.500       10.500  -0.00020750  50.00072475   0.00053427
         280      195.500      105.500       10.500   0.00002390  50.00080107   0.00046782
         281      195.500      125.500       10.500   0.00026408  50.00076659   0.00037758
         282      195.500      145.500       10.500   0.00045985  50.00062959   0.00026310
         283      195.500      165.500       10.500   0.00061452  50.00039533   0.00012797
         284      195.500      185.500       10.500   0.00080551  50.00002375  -0.00008191
         285      195.500      205.500       10.500   0.00108407  49.99950623  -0.00036964
         286      195.500      225.500       10.500   0.00143263  49.99642170  -0.00146661
         287       -4.500      -14.500       30.500   0.00074798  49.99933815   0.00054695
         288       -4.500        5.500       30.500  -0.00034423  49.99974267   0.00014556
         289       -4.500       25.500       30.500  -0.00037330  49.99996719   0.00015967
         290       -4.500       45.500       30.500  -0.00028346  50.00012269   0.00017518
         291       -4.500       65.500       30.500  -0.00015073  50.00021856   0.00018016
         292       -4.500       85.500       30.500  -0.00008416  50.00027419   0.00018095
         293       -4.500      105.500       30.500  -0.00010103  50.00025850   0.00016751
         294       -4.500      125.500       30.500  -0.00016511  50.00017914   0.00016296
         295       -4.500      145.500       30.500  -0.00023787  50.00002613   0.00016000
         296       -4.500      165.500       30.500  -0.00030779  49.99982441   0.00016197
         297       -4.500      185.500       30.500  -0.00034101  49.99958271   0.00015490
         298       -4.500      205.500       30.500  -0.00030682  49.99928310   0.00014382
         299       -4.500      225.500       30.500  -0.00025886  49.99893823   0.00061811
         300       15.500      -14.500       30.500  -0.00030696  50.00035773   0.00036197
         301       15.500        5.500       30.500  -0.00071077  50.00006271  -0.00003299
         302       15.500       25.500       30.500  -0.00053857  50.00007079  -0.00002034
         303       15.500       45.500       30.500  -0.00032716  50.00007346  -0.00000683
         304       15.500       65.500       30.500  -0.00012974  50.00006986  -0.00000169
         305       15.500       85.500       30.500  -0.00000029  50.00007183   0.00000785
         306       15.500      105.500       30.500   0.00004114  50.00005852   0.00001486
         307       15.500      125.500       30.500   0.00001707  50.00002352   0.00003052
         308       15.500      145.500       30.500  -0.00004607  49.99996921   0.00004998
         309       15.500      165.500       30.500  -0.00012450  49.99991296   0.00007345
         310       15.500      185.500       30.500  -0.00020636  49.99987327   0.00009952
         311       15.500      205.500       30.500  -0.00027822  49.99984391   0.00011725
         312       15.500      225.500       30.500  -0.00062525  50.00037357   0.00069566
         313       35.500      -14.500       30.500  -0.00062044  50.00066864   0.00036221
         314       35.500        5.500       30.500  -0.00068482  50.00006488  -0.00002882
         315       35.500       25.500       30.500  -0.00052657  50.00006393  -0.00002028
         316       35.500       45.500       30.500  -0.00032933  50.00005770  -0.00001397
         317       35.500       65.500       30.500  -0.00013928  50.00005212  -0.00001035
         318       35.500       85.500       30.500  -0.00000702  50.00004312  -0.00000649
         319       35.500      105.500       30.500   0.00004617  50.00003154   0.00000137
         320       35.500      125.500       30.500   0.00003199  50.00000586   0.00002287
         321       35.500      145.500       30.500  -0.00002008  49.99996961   0.00005138
         322       35.500      165.500       30.500  -0.00008334  49.99993169   0.00008468
         323       35.500      185.500       30.500  -0.00014571  49.99990520   0.00011668
         324       35.500      205.500       30.500  -0.00019144  49.99988484   0.00014076
         325       35.500      225.500       30.500  -0.00069432  50.00080037   0.00074984
         326       55.500      -14.500       30.500  -0.00075066  50.00075051   0.00037211
         327       55.500        5.500       30.500  -0.00066052  50.00006610  -0.00001466
         328       55.500       25.500       30.500  -0.00051301  50.00005949  -0.00001437
         329       55.500       45.500       30.500  -0.00032715  50.00004816  -0.00001473
         330       55.500       65.500       30.500  -0.00014704  50.00003859  -0.00002025
         331       55.500       85.500       30.500  -0.00000960  50.00002986  -0.00001931
         332       55.500      105.500       30.500   0.00006022  50.00001790  -0.00001195
         333       55.500      125.500       30.500   0.00006599  50.00000384   0.00001598
         334       55.500      145.500       30.500   0.00003091  49.99998511   0.00005813
         335       55.500      165.500       30.500  -0.00000844  49.99996119   0.00010266
         336       55.500      185.500       30.500  -0.00004291  49.99994537   0.00014442
         337       55.500      205.500       30.500  -0.00006673  49.99993507   0.00017436
         338       55.500      225.500       30.500  -0.00060129  50.00096175   0.00078219
         339       75.500      -14.500       30.500  -0.00084278  50.00074242   0.00036835
         340       75.500        5.500       30.500  -0.00062269  50.00006411  -0.00000278
         341       75.500       25.500       30.500  -0.00048790  50.00006141  -0.00000796
         342       75.500       45.500       30.500  -0.00031353  50.00005204  -0.00001340
         343       75.500       65.500       30.500  -0.00013551  50.00004375  -0.00002239
         344       75.500       85.500       30.500   0.00000708  50.00003375  -0.00002464
         345       75.500      105.500       30.500   0.00009285  50.00002737  -0.00001606
         346       75.500      125.500       30.500   0.00012294  50.00002185   0.00001856
         347       75.500      145.500       30.500   0.00011444  50.00002003   0.00007255
         348       75.500      165.500       30.500   0.00010222  50.00001024   0.00012763
         349       75.500      185.500       30.500   0.00009168  49.99999926   0.00017724
         350       75.500      205.500       30.500   0.00008381  49.99998927   0.00021196
         351       75.500      225.500       30.500  -0.00049443  50.00101758   0.00081046
         352       95.500      -14.500       30.500  -0.00087445  50.00064707   0.00036102
         353       95.500        5.500       30.500  -0.00055777  50.00006737   0.00001281
         354       95.500       25.500       30.500  -0.00043780  50.00006825   0.00000478
         355       95.500       45.500       30.500  -0.00027298  50.00006990  -0.00000487
         356       95.500       65.500       30.500  -0.00010020  50.00006649  -0.00001709
         357       95.500       85.500       30.500   0.00005130  50.00006550  -0.00002158
         358       95.500      105.500       30.500   0.00015230  50.00006252  -0.00000678
         359       95.500      125.500       30.500   0.00020580  50.00006652   0.00003620
         360       95.500      145.500       30.500   0.00022855  50.00007420   0.00009796
         361       95.500      165.500       30.500   0.00023497  50.00007086   0.00016300
         362       95.500      185.500       30.500   0.00023928  50.00005983   0.00021957
         363       95.500      205.500       30.500   0.00024235  50.00004832   0.00025788
         364       95.500      225.500       30.500  -0.00037738  50.00097126   0.00083529
         365      115.500      -14.500       30.500  -0.00081754  50.00043994   0.00033592
         366      115.500        5.500       30.500  -0.00047126  50.00008559   0.00001779
         367      115.500       25.500       30.500  -0.00036120  50.00008773   0.00001060
         368      115.500       45.500       30.500  -0.00020284  50.00009591   0.00000325
         369      115.500       65.500       30.500  -0.00003336  50.00010284  -0.00000522
         370      115.500       85.500       30.500   0.00012222  50.00010392  -0.00000011
         371      115.500      105.500       30.500   0.00023836  50.00011232   0.00002085
         372      115.500      125.500       30.500   0.00031260  50.00012251   0.00007067
         373      115.500      145.500       30.500   0.00035214  50.00013149   0.00014025
         374      115.500      165.500       30.500   0.00037255  50.00013527   0.00020909
         375      115.500      185.500       30.500   0.00037704  50.00012455   0.00026964
         376      115.500      205.500       30.500   0.00037507  50.00011162   0.00031275
         377      115.500      225.500       30.500  -0.00024560  50.00077173   0.00084139
         378      135.500      -14.500       30.500  -0.00071265  50.00015887   0.00030914
         379      135.500        5.500       30.500  -0.00037676  50.00009944   0.00002316
         380      135.500       25.500       30.500  -0.00027113  50.00011179   0.00001942
         381      135.500       45.500       30.500  -0.00011376  50.00012713   0.00001657
         382      135.500       65.500       30.500   0.00005624  50.00014725   0.00001459
         383      135.500       85.500       30.500   0.00021638  50.00016150   0.00002902
         384      135.500      105.500       30.500   0.00034483  50.00017856   0.00006065
         385      135.500      125.500       30.500   0.00043635  50.00019214   0.00011720
         386      135.500      145.500       30.500   0.00048502  50.00020206   0.00018820
         387      135.500      165.500       30.500   0.00050354  50.00019633   0.00025993
         388      135.500      185.500       30.500   0.00049693  50.00018497   0.00032412
         389      135.500      205.500       30.500   0.00048125  50.00016992   0.00037015
         390      135.500      225.500       30.500  -0.00011728  50.00048342   0.00084734
         391      155.500      -14.500       30.500  -0.00058615  49.99980418   0.00027113
         392      155.500        5.500       30.500  -0.00030016  50.00011322   0.00002270
         393      155.500       25.500       30.500  -0.00019263  50.00013659   0.00002377
         394      155.500       45.500       30.500  -0.00003577  50.00016293   0.00002822
         395      155.500       65.500       30.500   0.00013643  50.00019125   0.00003620
         396      155.500       85.500       30.500   0.00030988  50.00022033   0.00005879
         397      155.500      105.500       30.500   0.00045450  50.00024445   0.00009913
         398      155.500      125.500       30.500   0.00055953  50.00025933   0.00016018
         399      155.500      145.500       30.500   0.00061399  50.00026885   0.00023017
         400      155.500      165.500       30.500   0.00062293  50.00026048   0.00030313
         401      155.500      185.500       30.500   0.00059702  50.00023647   0.00036869
         402      155.500      205.500       30.500   0.00057189  50.00022249   0.00041778
         403      155.500      225.500       30.500  -0.00000125  50.00010177   0.00084851
