Nodal Strains (computed using Matlab)
     NODE    EPELX          EPELY          EPELZ          EPELXY         EPELYZ         EPELXZ
      96    0.0000023469   0.0000014236   0.0000135512   0.0000090105  -0.0000795008  -0.0000188883
      97    0.0000024832  -0.0000003024   0.0000061818   0.0000066098  -0.0000768239  -0.0000130457
      98    0.0000031942  -0.0000016929  -0.0000034553   0.0000028921  -0.0000707548  -0.0000031674
      99    0.0000041031  -0.0000033517  -0.0000156935  -0.0000017381  -0.0000617279   0.0000105776
     100    0.0000047420  -0.0000060013  -0.0000310272  -0.0000070468  -0.0000495260   0.0000290070
     101    0.0000052115  -0.0000107531  -0.0000510646  -0.0000147512  -0.0000306296   0.0000551169
     102    0.0000065811  -0.0000171644  -0.0000787633  -0.0000251821  -0.0000002930   0.0000943699
     103    0.0000123141  -0.0000385459  -0.0001187002  -0.0000928132   0.0000792968   0.0001492917
     104    0.0000218237  -0.0000676861  -0.0001603604  -0.0002063463   0.0001859973   0.0002052867
     105    0.0000147280   0.0000816748  -0.0000109484   0.0000092356  -0.0000365220   0.0000224342
     106    0.0000038078   0.0000370614  -0.0000098840   0.0000046668  -0.0000452895   0.0000135863
     107   -0.0000041233   0.0000098841  -0.0000075544   0.0000047839  -0.0000592225   0.0000046601
     108   -0.0000061351   0.0000057872  -0.0000069097   0.0000055523  -0.0000708443   0.0000007293
     109   -0.0000064528   0.0000027076  -0.0000077647   0.0000053253  -0.0000747891   0.0000007517
     110   -0.0000052781   0.0000010471  -0.0000100248   0.0000042433  -0.0000736798   0.0000039342
     111   -0.0000027866  -0.0000006826  -0.0000137449   0.0000017228  -0.0000694291   0.0000097978
     112    0.0000005086  -0.0000029092  -0.0000189352  -0.0000023958  -0.0000624542   0.0000182951
     113    0.0000039849  -0.0000057985  -0.0000254249  -0.0000074617  -0.0000525506   0.0000300813
     114    0.0000080833  -0.0000103506  -0.0000332689  -0.0000137310  -0.0000373260   0.0000471972
     115    0.0000143820  -0.0000162893  -0.0000428300  -0.0000208306  -0.0000126980   0.0000730592
     116    0.0000308264  -0.0000494451  -0.0000545591  -0.0000776227   0.0000442636   0.0001044184
     117    0.0000534199  -0.0001015403  -0.0000668460  -0.0001731026   0.0001153891   0.0001342526
     118    0.0000107680   0.0001435098  -0.0000700376  -0.0000760207  -0.0000105746   0.0000683686
     119   -0.0000142395   0.0000633439  -0.0000691797  -0.0000456383  -0.0000229014   0.0000750175
     120   -0.0000322900   0.0000161701  -0.0000636712  -0.0000177666  -0.0000406416   0.0000738009
     121   -0.0000394399   0.0000102760  -0.0000576192  -0.0000058424  -0.0000555425   0.0000716656
