Principal Nodal Strains (computed using Matlab)
    NODE       EPEL1          EPEL2          EPEL3          EPELINT        EPELEQV
     157    0.0000152378  -0.0000238577  -0.0000673260   0.0000825637   0.0000550275
     158    0.0000161231  -0.0000012301  -0.0000353463   0.0000514694   0.0000348884
     159    0.0000320904   0.0000019778  -0.0000209130   0.0000530034   0.0000354186
     160    0.0000361759   0.0000004971  -0.0000165763   0.0000527522   0.0000358633
     161    0.0000353645  -0.0000006919  -0.0000128082   0.0000481726   0.0000333862
     162    0.0000310067  -0.0000018090  -0.0000096977   0.0000407044   0.0000287612
     163    0.0000242653  -0.0000032970  -0.0000076221   0.0000318874   0.0000230461
     164    0.0000154576  -0.0000055046  -0.0000065279   0.0000219856   0.0000165325
     165    0.0000062074  -0.0000064800  -0.0000096718   0.0000158793   0.0000111911
     166    0.0000020678  -0.0000076382  -0.0000219964   0.0000240642   0.0000161305
     167    0.0000025670  -0.0000100724  -0.0000452721   0.0000478391   0.0000330293
     168    0.0000210394  -0.0000135097  -0.0001005447   0.0001215842   0.0000834739
     169    0.0000599423  -0.0000237111  -0.0001788768   0.0002388191   0.0001614550
     170    0.0000204694  -0.0000123164  -0.0000667640   0.0000872333   0.0000587067
     171    0.0000194031   0.0000009349  -0.0000304952   0.0000498982   0.0000336126
     172    0.0000195568   0.0000098980  -0.0000138547   0.0000334115   0.0000229084
     173    0.0000175197   0.0000106802  -0.0000124571   0.0000299768   0.0000209305
     174    0.0000140693   0.0000099227  -0.0000107173   0.0000247866   0.0000176888
     175    0.0000101347   0.0000076466  -0.0000087504   0.0000188852   0.0000136709
     176    0.0000067390   0.0000040267  -0.0000074803   0.0000142193   0.0000100583
     177    0.0000040090  -0.0000002846  -0.0000077093   0.0000117183   0.0000078987
     178    0.0000014030  -0.0000030234  -0.0000113715   0.0000127745   0.0000086427
     179   -0.0000011606  -0.0000040641  -0.0000196707   0.0000185102   0.0000132637
     180   -0.0000016523  -0.0000079710  -0.0000331163   0.0000314640   0.0000221760
     181    0.0000218943  -0.0000229372  -0.0000669452   0.0000888394   0.0000591833
     182    0.0000719248  -0.0000475345  -0.0001215518   0.0001934766   0.0001300686
     183    0.0000214904  -0.0000034162  -0.0000640288   0.0000855192   0.0000586024
     184    0.0000203847   0.0000049475  -0.0000282013   0.0000485860   0.0000330758
     185    0.0000194717   0.0000105806  -0.0000109235   0.0000303952   0.0000208215
     186    0.0000184188   0.0000098654  -0.0000105914   0.0000290101   0.0000198607
     187    0.0000163326   0.0000075954  -0.0000097970   0.0000261296   0.0000177223
     188    0.0000129322   0.0000052004  -0.0000087088   0.0000216410   0.0000146111
     189    0.0000081031   0.0000039465  -0.0000081864   0.0000162895   0.0000112769
     190    0.0000038127   0.0000023879  -0.0000089154   0.0000127281   0.0000092914
     191    0.0000038130  -0.0000018662  -0.0000130437   0.0000168567   0.0000114269
     192    0.0000032187  -0.0000033261  -0.0000230361   0.0000262548   0.0000182085
     193    0.0000011086  -0.0000037309  -0.0000395134   0.0000406220   0.0000295627
     194    0.0000230049  -0.0000098970  -0.0000799167   0.0001029216   0.0000700341
     195    0.0000800262  -0.0000273242  -0.0001457879   0.0002258141   0.0001504920
     196    0.0000215035   0.0000041401  -0.0000568499   0.0000783534   0.0000548276
     197    0.0000209618   0.0000077631  -0.0000247582   0.0000457200   0.0000313510
     198    0.0000216958   0.0000087403  -0.0000090927   0.0000307885   0.0000205961
     199    0.0000215627   0.0000069259  -0.0000096364   0.0000311991   0.0000207972
     200    0.0000195477   0.0000049382  -0.0000097456   0.0000292933   0.0000195144
     201    0.0000158484   0.0000036228  -0.0000094339   0.0000252823   0.0000168454
     202    0.0000106556   0.0000035970  -0.0000093247   0.0000199804   0.0000135000
     203    0.0000047982   0.0000044242  -0.0000100948   0.0000148930   0.0000113151
     204    0.0000058180  -0.0000005205  -0.0000139233   0.0000197412   0.0000134288
     205    0.0000065639  -0.0000033954  -0.0000239995   0.0000305634   0.0000207680
     206    0.0000063754  -0.0000045701  -0.0000421606   0.0000485360   0.0000339186
     207    0.0000235103  -0.0000008821  -0.0000890373   0.0001125476   0.0000788852
     208    0.0000822691  -0.0000105460  -0.0001659951   0.0002482642   0.0001671322
     209    0.0000206009   0.0000121278  -0.0000442286   0.0000648295   0.0000469505
     210    0.0000209560   0.0000098714  -0.0000195946   0.0000405506   0.0000279235
     211    0.0000225470   0.0000072865  -0.0000078000   0.0000303470   0.0000202165
     212    0.0000229153   0.0000052429  -0.0000090487   0.0000319640   0.0000213332
     213    0.0000210303   0.0000037708  -0.0000098796   0.0000309099   0.0000206381
     214    0.0000173265   0.0000032437  -0.0000101490   0.0000274756   0.0000183054
     215    0.0000121653   0.0000038917  -0.0000102949   0.0000224602   0.0000151342
     216    0.0000062984   0.0000052682  -0.0000111280   0.0000174264   0.0000130268
     217    0.0000070188   0.0000006106  -0.0000146273   0.0000216461   0.0000148145
     218    0.0000084904  -0.0000035035  -0.0000239535   0.0000324439   0.0000218566
     219    0.0000098448  -0.0000054587  -0.0000420525   0.0000518973   0.0000355291
     220    0.0000248947   0.0000028301  -0.0000911450   0.0001160397   0.0000821014
     221    0.0000802768   0.0000009288  -0.0001723783   0.0002526550   0.0001721479
     222    0.0000211309   0.0000170577  -0.0000263646   0.0000474955   0.0000350735
     223    0.0000206818   0.0000101243  -0.0000128019   0.0000334837   0.0000228076
     224    0.0000216336   0.0000058318  -0.0000071106   0.0000287441   0.0000191801
     225    0.0000224939   0.0000040630  -0.0000089603   0.0000314542   0.0000210569
     226    0.0000209423   0.0000031380  -0.0000102148   0.0000311570   0.0000208265
     227    0.0000175613   0.0000031424  -0.0000107915   0.0000283527   0.0000188888
     228    0.0000127578   0.0000041584  -0.0000111267   0.0000238845   0.0000161177
     229    0.0000070881   0.0000057589  -0.0000120621   0.0000191503   0.0000142473
     230    0.0000075431   0.0000013230  -0.0000152222   0.0000227653   0.0000156769
     231    0.0000094241  -0.0000036330  -0.0000231454   0.0000325695   0.0000218385
     232    0.0000118878  -0.0000061335  -0.0000392470   0.0000511348   0.0000345557
     233    0.0000265495   0.0000010310  -0.0000852406   0.0001117901   0.0000780513
     234    0.0000728236   0.0000049825  -0.0001628701   0.0002356937   0.0001616561
     235    0.0000312782   0.0000139967  -0.0000098998   0.0000411779   0.0000275494
     236    0.0000206597   0.0000081587  -0.0000065393   0.0000271990   0.0000181389
     237    0.0000183803   0.0000039164  -0.0000073350   0.0000257153   0.0000171753
     238    0.0000197515   0.0000024833  -0.0000096219   0.0000293734   0.0000196683
     239    0.0000188409   0.0000019933  -0.0000110259   0.0000298668   0.0000199509
     240    0.0000162853   0.0000024309  -0.0000116624   0.0000279477   0.0000186182
     241    0.0000123254   0.0000037944  -0.0000121155   0.0000244409   0.0000165274
     242    0.0000072850   0.0000057184  -0.0000130106   0.0000202957   0.0000150457
     243    0.0000077490   0.0000017346  -0.0000153965   0.0000231455   0.0000160008
     244    0.0000100019  -0.0000036936  -0.0000209016   0.0000309036   0.0000206314
     245    0.0000132896  -0.0000065847  -0.0000327089   0.0000459985   0.0000307371
     246    0.0000275583  -0.0000039348  -0.0000709370   0.0000984953   0.0000670212
     247    0.0000629054   0.0000021711  -0.0001395060   0.0002024114   0.0001383883
     248    0.0000578156   0.0000141382  -0.0000080446   0.0000658602   0.0000446464
     249    0.0000248063   0.0000061825  -0.0000073048   0.0000321111   0.0000214826
     250    0.0000121188   0.0000015041  -0.0000106204   0.0000227392   0.0000151594
     251    0.0000137375   0.0000003986  -0.0000126890   0.0000264265   0.0000176049
     252    0.0000137367   0.0000002709  -0.0000137374   0.0000274741   0.0000183037
     253    0.0000126177   0.0000010731  -0.0000139604   0.0000265781   0.0000177564
     254    0.0000103254   0.0000027153  -0.0000139822   0.0000243076   0.0000165660
     255    0.0000071050   0.0000047258  -0.0000140587   0.0000211638   0.0000154463
     256    0.0000076860   0.0000021926  -0.0000144868   0.0000221728   0.0000153848
     257    0.0000103139  -0.0000029453  -0.0000155665   0.0000258804   0.0000172426
     258    0.0000141275  -0.0000067192  -0.0000191520   0.0000332795   0.0000224048
     259    0.0000285791  -0.0000083471  -0.0000486882   0.0000772672   0.0000514901
     260    0.0000580151  -0.0000015885  -0.0001111657   0.0001691808   0.0001143310
     261    0.0001286142   0.0000098006  -0.0000355000   0.0001641142   0.0001129254
     262    0.0000517541   0.0000008694  -0.0000357351   0.0000874891   0.0000585412
     263    0.0000122817  -0.0000036272  -0.0000375983   0.0000498800   0.0000339472
     264    0.0000094883  -0.0000042474  -0.0000387819   0.0000482702   0.0000331364
     265    0.0000084078  -0.0000043578  -0.0000385221   0.0000469299   0.0000323286
     266    0.0000080898  -0.0000039135  -0.0000360950   0.0000441848   0.0000304407
     267    0.0000073728  -0.0000032076  -0.0000311936   0.0000385664   0.0000265498
     268    0.0000065209  -0.0000026397  -0.0000238836   0.0000304045   0.0000207810
